lc_id,title,topic,source_md,target_py,py_exists,seen_in_days,status,tags,notes
LC016,3Sum Closest,heaps,LC016_3sum-closest.md,LC016_3sum-closest.py,no,Day-80,todo,heaps,
LC1046,Last Stone Weight,heaps,LC1046_last-stone-weight.md,LC1046_last-stone-weight.py,no,Day-05,todo,heaps,
LC215,Kth Largest Element In An Array,heaps,LC215_kth-largest-element-in-an-array.md,LC215_kth-largest-element-in-an-array.py,no,Day-05;Day-33;Day-52;Day-72,todo,heaps,
LC295,Find Median From Data Stream,heaps,LC295_find-median-from-data-stream.md,LC295_find-median-from-data-stream.py,no,Day-05;Day-33;Day-52;Day-68,todo,heaps,
LC347,Top K Frequent Elements,heaps,LC347_top-k-frequent-elements.md,LC347_top-k-frequent-elements.py,no,Day-01;Day-33,todo,heaps,
LC703,Kth Largest Element In A Stream,heaps,LC703_kth-largest-element-in-a-stream.md,LC703_kth-largest-element-in-a-stream.py,no,Day-05,todo,heaps,
LC973,K Closest Points To Origin,heaps,LC973_k-closest-points-to-origin.md,LC973_k-closest-points-to-origin.py,no,Day-05,todo,heaps,
