previous_frame,current_frame,changed_pixel_ratio,classification
frame_0100.jpg,frame_0101.jpg,0.0,same_build_sequence
frame_0101.jpg,frame_0102.jpg,0.0,same_build_sequence
frame_0102.jpg,frame_0103.jpg,0.0,same_build_sequence
frame_0103.jpg,frame_0104.jpg,0.01401,same_build_sequence
frame_0104.jpg,frame_0105.jpg,0.011233,same_build_sequence
frame_0105.jpg,frame_0106.jpg,0.0,same_build_sequence
frame_0106.jpg,frame_0107.jpg,0.0,same_build_sequence
frame_0107.jpg,frame_0108.jpg,0.0,same_build_sequence
frame_0108.jpg,frame_0109.jpg,0.0,same_build_sequence
frame_0109.jpg,frame_0110.jpg,0.0,same_build_sequence
frame_0110.jpg,frame_0111.jpg,0.0,same_build_sequence
frame_0111.jpg,frame_0112.jpg,0.102604,new_slide
frame_0112.jpg,frame_0113.jpg,0.158507,new_slide
frame_0113.jpg,frame_0114.jpg,0.153385,new_slide
frame_0114.jpg,frame_0115.jpg,0.0,same_build_sequence
frame_0115.jpg,frame_0116.jpg,0.0,same_build_sequence
frame_0116.jpg,frame_0117.jpg,0.0,same_build_sequence
frame_0117.jpg,frame_0118.jpg,0.0,same_build_sequence
frame_0118.jpg,frame_0119.jpg,0.0,same_build_sequence
frame_0119.jpg,frame_0120.jpg,0.0,same_build_sequence
frame_0120.jpg,frame_0121.jpg,0.0,same_build_sequence
frame_0121.jpg,frame_0122.jpg,0.0,same_build_sequence
frame_0122.jpg,frame_0123.jpg,0.0,same_build_sequence
frame_0123.jpg,frame_0124.jpg,0.0,same_build_sequence
frame_0124.jpg,frame_0125.jpg,0.0,same_build_sequence
frame_0125.jpg,frame_0126.jpg,0.0,same_build_sequence
frame_0126.jpg,frame_0127.jpg,0.0,same_build_sequence
frame_0127.jpg,frame_0128.jpg,0.0,same_build_sequence
frame_0128.jpg,frame_0129.jpg,0.0,same_build_sequence
frame_0129.jpg,frame_0130.jpg,0.0,same_build_sequence
frame_0130.jpg,frame_0131.jpg,0.0,same_build_sequence
frame_0131.jpg,frame_0132.jpg,0.0,same_build_sequence
frame_0132.jpg,frame_0133.jpg,0.0,same_build_sequence
frame_0133.jpg,frame_0134.jpg,0.0,same_build_sequence
frame_0134.jpg,frame_0135.jpg,0.0,same_build_sequence
frame_0135.jpg,frame_0136.jpg,0.0,same_build_sequence
frame_0136.jpg,frame_0137.jpg,0.0,same_build_sequence
frame_0137.jpg,frame_0138.jpg,0.0,same_build_sequence
frame_0138.jpg,frame_0139.jpg,0.0,same_build_sequence
frame_0139.jpg,frame_0140.jpg,0.0,same_build_sequence
frame_0140.jpg,frame_0141.jpg,0.0,same_build_sequence
frame_0141.jpg,frame_0142.jpg,0.0,same_build_sequence
frame_0142.jpg,frame_0143.jpg,0.0,same_build_sequence
frame_0143.jpg,frame_0144.jpg,0.215938,new_slide
frame_0144.jpg,frame_0145.jpg,0.021667,same_build_sequence
frame_0145.jpg,frame_0146.jpg,0.0,same_build_sequence
frame_0146.jpg,frame_0147.jpg,0.0,same_build_sequence
frame_0147.jpg,frame_0148.jpg,0.0,same_build_sequence
frame_0148.jpg,frame_0149.jpg,0.017483,same_build_sequence
frame_0149.jpg,frame_0150.jpg,0.0,same_build_sequence
frame_0150.jpg,frame_0151.jpg,0.0,same_build_sequence
frame_0151.jpg,frame_0152.jpg,0.0,same_build_sequence
frame_0152.jpg,frame_0153.jpg,0.0,same_build_sequence
frame_0153.jpg,frame_0154.jpg,0.0,same_build_sequence
frame_0154.jpg,frame_0155.jpg,0.0,same_build_sequence
frame_0155.jpg,frame_0156.jpg,0.0,same_build_sequence
frame_0156.jpg,frame_0157.jpg,0.0,same_build_sequence
frame_0157.jpg,frame_0158.jpg,0.0,same_build_sequence
frame_0158.jpg,frame_0159.jpg,0.0,same_build_sequence
frame_0159.jpg,frame_0160.jpg,0.0,same_build_sequence
frame_0160.jpg,frame_0161.jpg,0.0,same_build_sequence
frame_0161.jpg,frame_0162.jpg,0.0,same_build_sequence
frame_0162.jpg,frame_0163.jpg,0.0,same_build_sequence
frame_0163.jpg,frame_0164.jpg,0.0,same_build_sequence
frame_0164.jpg,frame_0165.jpg,0.0,same_build_sequence
frame_0165.jpg,frame_0166.jpg,0.0,same_build_sequence
frame_0166.jpg,frame_0167.jpg,0.0,same_build_sequence
frame_0167.jpg,frame_0168.jpg,0.0,same_build_sequence
frame_0168.jpg,frame_0169.jpg,0.0,same_build_sequence
frame_0169.jpg,frame_0170.jpg,0.0,same_build_sequence
frame_0170.jpg,frame_0171.jpg,0.0,same_build_sequence
frame_0171.jpg,frame_0172.jpg,0.0,same_build_sequence
frame_0172.jpg,frame_0173.jpg,0.0,same_build_sequence
